,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2,Label
364,6.0,0.0,10000.0,2000.0,47.0,215.0,1.0048247575759888,0.7579869031906128,3.949793577194214,514.039306640625,550.6107177734375,64.14958190917969,10.556897163391113,50.83051300048828,15.807767868041992,2.390969753265381,144.41262817382812,1.477933645248413,3.694164991378784,1.718625545501709,63.232540130615234,0
365,2.0,119.48048400878906,0.0,0.0,191.0,151.0,2.8598108291625977,4.160824775695801,21.832653045654297,779.6776733398438,636.583251953125,103.57732391357422,13.428346633911133,109.45331573486328,22.4505672454834,4.667535305023193,323.6045227050781,2.6545186042785645,1.8266726732254028,0.9115460515022278,62.3590087890625,0
366,5.0,0.0,2000.0,0.0,167.0,203.0,2.006364583969116,3.2164804935455322,12.470693588256836,849.1411743164062,642.4860229492188,85.5847396850586,13.437541007995605,73.37810516357422,19.168577194213867,4.368687629699707,207.30165100097656,1.8666239976882935,2.8991000652313232,2.7107605934143066,62.60477828979492,0
367,2.0,0.0,4472.13623046875,2000.0,167.0,235.0,0.47494298219680786,2.574359178543091,10.783007621765137,688.4739990234375,515.7881469726562,58.46944808959961,11.948432922363281,73.59814453125,13.852240562438965,2.9726858139038086,211.03565979003906,3.8860085010528564,2.386031150817871,1.114911437034607,61.718631744384766,0
368,2.0,83.78473663330078,5656.85400390625,4472.13623046875,231.0,215.0,1.9611403942108154,1.0866084098815918,3.6691770553588867,427.3956604003906,452.1827697753906,70.73255920410156,6.923614025115967,48.25568771362305,8.598201751708984,2.2634782791137695,140.07705688476562,1.4412957429885864,3.0197813510894775,1.901953101158142,61.35647201538086,0
369,4.0,5.374719142913818,6000.0,2828.427001953125,31.0,255.0,0.4491419792175293,0.58847975730896,3.670834541320801,240.4948272705078,296.23480224609375,37.546165466308594,9.546659469604492,29.772520065307617,4.815342903137207,1.2431129217147827,93.39376831054688,1.823781132698059,1.7457983493804932,0.8741031289100647,58.42174530029297,0
370,2.0,0.0,5656.85400390625,6000.0,239.0,195.0,1.2791696786880493,0.894132673740387,3.083970069885254,643.5087280273438,471.8475036621094,73.51596069335938,7.180220603942871,45.95917892456055,9.288615226745605,1.3265355825424194,136.20863342285156,1.3455315828323364,2.722522258758545,1.8389486074447632,65.24454498291016,0
371,5.0,0.0,8246.2109375,7211.1025390625,127.0,79.0,1.7529319524765015,1.73843252658844,9.697308540344238,362.1362609863281,529.1597900390625,81.18634033203125,13.086713790893555,52.752410888671875,9.75829792022705,2.087761163711548,146.80157470703125,1.3947384357452393,4.76084566116333,2.3025779724121094,62.2200813293457,0
372,5.0,0.0,10770.3291015625,7211.1025390625,227.0,95.0,1.027101755142212,1.5780961513519287,6.789309501647949,359.9400329589844,498.223388671875,74.43436431884766,11.802560806274414,51.53413391113281,11.066849708557129,3.1003267765045166,144.64256286621094,1.8382569551467896,4.773100852966309,2.004804849624634,63.54280090332031,0
373,4.0,9.006271362304688,5656.85400390625,4472.13623046875,235.0,231.0,0.13338257372379303,0.8714514374732971,1.3714638948440552,217.4867706298828,282.249267578125,50.73202896118164,7.539655685424805,41.45448303222656,8.521310806274414,2.3446743488311768,127.18905639648438,2.2383952140808105,3.102816104888916,1.1276459693908691,56.79877853393555,0
374,5.0,0.0,15231.546875,0.0,143.0,135.0,3.3731846809387207,5.806795597076416,32.17123031616211,1263.281005859375,699.8931274414062,144.68157958984375,18.357942581176758,138.7991943359375,39.16769027709961,6.093993186950684,369.4417419433594,1.4187859296798706,1.9701638221740723,2.3695082664489746,61.844337463378906,0
375,5.0,0.0,2000.0,0.0,95.0,195.0,0.5297032594680786,0.9365626573562622,10.69734001159668,410.0382080078125,331.98004150390625,69.0875244140625,13.358272552490234,62.4690055847168,12.226106643676758,2.1133267879486084,171.0952911376953,1.963912844657898,4.663252830505371,1.1739097833633423,62.93229675292969,0
376,2.0,0.0,8000.0,2000.0,127.0,183.0,2.760166645050049,1.5970721244812012,3.996859550476074,330.8958435058594,657.5975341796875,89.27482604980469,20.033546447753906,41.73271560668945,9.010068893432617,2.100093364715576,126.26396942138672,1.1265254020690918,2.0350828170776367,2.708375930786133,62.11170959472656,0
377,5.0,36.099544525146484,2000.0,2000.0,255.0,79.0,2.6630055904388428,2.7680861949920654,16.878446578979492,353.66961669921875,486.5489501953125,105.7048568725586,9.409801483154297,68.5656967163086,16.098085403442383,4.230193614959717,199.28855895996094,1.4295912981033325,2.5124080181121826,2.3316526412963867,57.58858871459961,0
378,5.0,2.3886749744415283,4472.13623046875,0.0,235.0,135.0,3.53629469871521,7.438331127166748,24.170066833496094,366.0055847167969,502.82391357421875,145.01568603515625,10.638808250427246,74.3994369506836,24.03750228881836,5.871459484100342,215.08349609375,1.2331746816635132,2.6370460987091064,3.2589199542999268,62.65139389038086,0
379,2.0,20.778690338134766,5656.85400390625,2000.0,215.0,231.0,1.8479732275009155,0.9533069729804993,5.64327335357666,713.6651000976562,664.3030395507812,68.51251220703125,13.958168029785156,83.75728607177734,14.289814949035645,2.3498213291168213,242.53343200683594,3.741105318069458,2.0363636016845703,0.9079294204711914,59.27166748046875,0
380,2.0,0.0,4472.13623046875,0.0,215.0,231.0,1.591674566268921,1.0173861980438232,4.467875003814697,340.9852294921875,472.9942321777344,78.27554321289062,13.230057716369629,53.40215301513672,11.91451644897461,2.1251754760742188,157.22567749023438,1.730070948600769,3.2694005966186523,2.0042290687561035,59.77306365966797,0
381,2.0,0.0,5656.85400390625,0.0,191.0,227.0,0.26233041286468506,0.7281168699264526,2.0331203937530518,626.9613037109375,538.3687133789062,75.25599670410156,14.04150676727295,107.31126403808594,15.846786499023438,2.217097282409668,299.13818359375,3.9455926418304443,2.4277875423431396,1.0994864702224731,57.67582702636719,0
382,6.0,0.0,11313.7080078125,4472.13623046875,79.0,251.0,1.414732813835144,1.701756238937378,12.770806312561035,386.1048583984375,424.70892333984375,74.0583724975586,13.9871187210083,59.919403076171875,10.819589614868164,2.797067165374756,172.4976348876953,2.004683256149292,6.306981086730957,1.8076727390289307,58.03199768066406,0
383,2.0,0.0,0.0,6324.55517578125,167.0,159.0,2.062976598739624,1.3262590169906616,6.354527950286865,434.0326232910156,528.3751831054688,56.1053466796875,15.462823867797852,64.52848815917969,9.676626205444336,2.126401662826538,176.8718719482422,1.4192619323730469,4.553754806518555,2.656787157058716,60.742034912109375,0
384,5.0,0.0,4000.0,2000.0,95.0,159.0,0.9256256818771362,0.8670709729194641,5.705152988433838,359.9273986816406,355.228515625,64.92540740966797,13.206743240356445,59.48884963989258,9.507444381713867,2.2167398929595947,175.5660400390625,2.127809524536133,3.433281183242798,1.4674113988876343,59.58979797363281,0
385,2.0,0.0,2000.0,8485.28125,247.0,215.0,1.4950295686721802,2.620006561279297,15.10035228729248,357.679931640625,417.3209533691406,46.72996520996094,13.885727882385254,61.41179656982422,9.449409484863281,2.8792266845703125,170.31884765625,2.249500036239624,6.487623691558838,1.5054219961166382,56.07339096069336,0
386,2.0,0.0,0.0,8246.2109375,199.0,195.0,2.0375378131866455,2.0167508125305176,4.5321807861328125,371.2006530761719,490.83953857421875,71.3050765991211,47.206626892089844,52.430816650390625,10.590569496154785,2.1340973377227783,155.27423095703125,1.4772868156433105,2.8753771781921387,2.1945810317993164,62.17879104614258,0
387,2.0,81.23162841796875,2000.0,2000.0,227.0,239.0,1.4600961208343506,1.0825064182281494,5.502040386199951,879.7782592773438,455.205078125,75.35657501220703,3.636810064315796,50.65036392211914,7.101845741271973,3.916654109954834,149.6326141357422,1.2810509204864502,2.2603769302368164,1.9537384510040283,66.9249496459961,0
